Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_LoginNegatif,Chrome 128.0.0.0,,,30-08-2024 16:21:49,30-08-2024 16:25:35,3m - 45.772s,PASSED
,,,,,,,
Test Cases/Facebook/TC_Login02,Chrome 128.0.0.0,Login dengan email/nomor telepon tidak valid,,30-08-2024 16:21:50,30-08-2024 16:22:27,37.792s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,30-08-2024 16:21:50,30-08-2024 16:21:52,2.205s,PASSED
"navigateToUrl(""https://web.facebook.com/?_rdc=1&_rdr"")",Chrome 128.0.0.0,,,30-08-2024 16:21:52,30-08-2024 16:21:54,2.057s,PASSED
"setText(findTestObject(""Object Repository/Facebook/Page_Facebook  log in or sign up/Page_Facebook  log in or sign up/input_Facebook helps you connect and share _ccef60""), ""vegetarian"")",Chrome 128.0.0.0,,,30-08-2024 16:21:54,30-08-2024 16:21:55,1.020s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Facebook/Page_Facebook  log in or sign up/Page_Facebook  log in or sign up/input_Facebook helps you connect and share _ab63fc""), ""pP6844vZzIkwB+YX7enOXQ=="")",Chrome 128.0.0.0,,,30-08-2024 16:21:55,30-08-2024 16:21:56,0.567s,PASSED
"click(findTestObject(""Object Repository/Facebook/Page_Facebook  log in or sign up/Page_Facebook  log in or sign up/button_Log in""))",Chrome 128.0.0.0,,,30-08-2024 16:21:56,30-08-2024 16:22:27,31.582s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,30-08-2024 16:22:27,30-08-2024 16:22:27,0.143s,PASSED
,,,,,,,
Test Cases/Facebook/TC_Login03,Chrome 128.0.0.0,Login dengan password tidak valid,,30-08-2024 16:22:27,30-08-2024 16:23:43,1m - 15.479s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,30-08-2024 16:22:27,30-08-2024 16:22:28,1.058s,PASSED
"navigateToUrl(""https://web.facebook.com/?_rdc=1&_rdr"")",Chrome 128.0.0.0,,,30-08-2024 16:22:28,30-08-2024 16:22:30,1.327s,PASSED
"setText(findTestObject(""Object Repository/Facebook/Page_Facebook  log in or sign up/Page_Facebook  log in or sign up/input_Facebook helps you connect and share _ccef60""), ""vegetarianalami@gmail.com"")",Chrome 128.0.0.0,,,30-08-2024 16:22:30,30-08-2024 16:22:30,0.671s,PASSED
"click(findTestObject(""Object Repository/Facebook/Page_Facebook  log in or sign up/Page_Facebook  log in or sign up/div_Facebook helps you connect and share wi_33762e""))",Chrome 128.0.0.0,,,30-08-2024 16:22:30,30-08-2024 16:22:31,0.283s,PASSED
